U.S. Domestic Crude Oil First Purchase Prices Monthly,
Month,Dollars per Barrel
Aug-96,14.97
Jul-96,14.77
Jun-96,14.46
May-96,15.22
Apr-96,17.84
Mar-96,16.32
Feb-96,14.16
Jan-96,13.8
Dec-95,12.94
Nov-95,12.33
Oct-95,12.62
Sep-95,13.43
Aug-95,13.27
Jul-95,13.17
Jun-95,14.07
May-95,14.71
Apr-95,14.19
Mar-95,13.09
Feb-95,12.84
Jan-95,12.39
Dec-94,12.26
Nov-94,12.68
Oct-94,12.63
Sep-94,12.64
Aug-94,13.08
Jul-94,13.02
Jun-94,12.91
May-94,11.97
Apr-94,10.77
Mar-94,9.79
Feb-94,9.39
Jan-94,8.51
Dec-93,8.49
Nov-93,10.69
Oct-93,11.41
